Study Name,protocol,position,Age,Gender,Level of Education,Ultrasound Experience,Years of Experience,Race/Ethnicity,Visual Impairment,specify,dominant hand
Obstetrics Exam - 02-May-2024_1144_AM,Vertical,OA ,20,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 02-May-2024_1159_AM,Horizontal,OA ,20,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 02-May-2024_1204_PM,Diagonal /,OA ,22,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_1209_PM,Diagonal ,OA ,22,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_1212_PM,Vertical,OA ,23,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_1218_PM,Horizontal,OA ,23,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_1223_PM,Diagonal /,OA ,24,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_1227_PM,Diagonal ,OA ,24,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_1231_PM,Diagonal /,SA,22,Female,High School,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 02-May-2024_1238_PM,Horizontal,SA,22,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_1242_PM,Diagonal /,SA,20,Female,High School,1,0,Hispanic,No,,Left-handed
Obstetrics Exam - 02-May-2024_1247_PM,Diagonal ,SA,21,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 02-May-2024_1251_PM,Vertical,SA,25,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 02-May-2024_817_AM,Vertical,SP,33,Female,Technician ,1,0,Mayan descendant,No,,Right-handed
Obstetrics Exam - 02-May-2024_839_AM,Horizontal,SP,33,Female,Technician ,1,0,Mayan descendant,No,,Right-handed
Obstetrics Exam - 02-May-2024_843_AM,Diagonal /,SP,22,Female,Technician ,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 02-May-2024_849_AM,Diagonal ,SP,22,Female,Technician ,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 02-May-2024_854_AM,Vertical,SP,35,Female,Technician ,4,10,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_859_AM,Horizontal,SP,35,Female,Technician ,4,10,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_903_AM,Diagonal /,SP,23,Female,Technician ,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 02-May-2024_908_AM,Diagonal ,SP,23,Female,Technician ,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 02-May-2024_910_AM,Vertical,SP,20,Male,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_916_AM,Horizontal,SP,20,Male,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_921_AM,Diagonal /,OP,19,Male,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 02-May-2024_926_AM,Diagonal ,OP,19,Male,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 02-May-2024_929_AM,Vertical,OP,32,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_934_AM,Horizontal,OP,32,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_937_AM,Diagonal /,OP,21,Male,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_940_AM,Diagonal ,OP,21,Male,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_942_AM,Vertical,OP,30,Female,Bachelor Degree,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_947_AM,Horizontal,OP,30,Female,Bachelor Degree,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 02-May-2024_949_AM,Diagonal /,OP,20,Female,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 02-May-2024_953_AM,Diagonal ,OP,20,Female,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_1058_AM,Vertical,OA ,21,Female,High School,1,0,Hispanic ,No,,Right-handed
Obstetrics Exam - 03-May-2024_1125_AM,Horizontal,OA ,21,Female,High School,1,0,Hispanic ,No,,Right-handed
Obstetrics Exam - 03-May-2024_1129_AM,Diagonal /,OA ,26,Male,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1134_AM,Diagonal ,OA ,26,Male,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1136_AM,Vertical,OA ,21,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1140_AM,Horizontal,OA ,21,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1152_AM,Horizontal,OA ,19,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1156_AM,Diagonal /,SA,19,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1158_AM,Diagonal ,SA,19,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1201_PM,Vertical,SA,24,Female,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_1204_PM,Horizontal,SA,24,Female,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_1206_PM,Horizontal,SA,31,Female,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_1213_PM,Horizontal,SA,31,Female,Technician ,1,0,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_1216_PM,Vertical,SA,38,Male,Bachelor Degree,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1219_PM,Horizontal,SA,38,Male,Bachelor Degree,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_1222_PM,Diagonal /,SA,19,Female,High School,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_1225_PM,Diagonal ,SA,19,Female,High School,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_1246_PM,Vertical,SP,21,Male,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_229_PM,Horizontal,SP,21,Male,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_235_PM,Diagonal /,SP,23,Male,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_240_PM,Diagonal ,SP,23,Male,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_242_PM,Vertical,SP,31,Female,High School,8,1,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_248_PM,Horizontal,SP,31,Female,High School,8,1,Hispanic,Yes,Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_251_PM,Diagonal /,SP,18,Female,Technician ,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_256_PM,Diagonal ,SP,18,Female,Technician ,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_300_PM,Vertical,SP,20,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_304_PM,Horizontal,SP,20,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_307_PM,Diagonal /,SP,23,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_313_PM,Diagonal ,SP,23,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_315_PM,Vertical,OP,19,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_320_PM,Horizontal,OP,19,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_322_PM,Diagonal /,OP,20,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_326_PM,Diagonal ,OP,20,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_328_PM,Vertical,OP,19,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_334_PM,Horizontal,OP,19,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_337_PM,Diagonal /,OP,20,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_340_PM,Diagonal ,OP,20,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_342_PM,Vertical,OP,22,Female,High School,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_346_PM,Horizontal,OP,22,Female,High School,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_348_PM,Diagonal /,OP,19,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_356_PM,Diagonal ,OP,19,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_358_PM,Vertical,OP,21,Male,High School,2,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_402_PM,Horizontal,OP,21,Male,High School,2,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_902_AM,Horizontal,SP,21,Male,High School,1,0,Hispanic,Yes,Astigmatism,Left-handed
Obstetrics Exam - 03-May-2024_905_AM,Diagonal /,SP,26,Female,High School,1,0,Mayan descendant,No,,Right-handed
Obstetrics Exam - 03-May-2024_910_AM,Diagonal ,SP,26,Male,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_913_AM,Horizontal,SP,25,Female,High School,1,0,Hispanic,Yes,Myopia and Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_917_AM,Horizontal,OP,24,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_922_AM,Diagonal /,OP,24,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_924_AM,Diagonal ,OP,21,Female,High School,1,0,Hispanic,Yes,Myopia and Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_927_AM,Vertical,OP,21,Female,High School,1,0,Hispanic,Yes,Myopia and Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_929_AM,Horizontal,OP,23,Female,High School,1,0,Mayan descendant,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_933_AM,Diagonal /,OP,23,Female,High School,1,0,Mayan descendant,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_936_AM,Diagonal ,OP,22,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_939_AM,Vertical,OP,22,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_942_AM,Horizontal,OP,23,Female,High School,1,0,Hispanic,No,,Left-handed
Obstetrics Exam - 03-May-2024_947_AM,Diagonal /,OP,23,Female,High School,1,0,Hispanic,No,,Left-handed
